name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
assam,2018-12-01,79.8,58.4,68.3,79.8,58.4,68.3,62.5,82.9,0,0,0,,0,0,12.3,6,8,1015.1,41.3,1.8,169,14.7,7,,2018-12-01T05:52:48,2018-12-01T16:30:27,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-02,79.7,58.3,68.6,79.7,58.3,68.6,61.8,80.6,0,0,0,,0,0,12.5,9.6,24.3,1013.6,52.6,1.9,167,14.5,7,,2018-12-02T05:53:32,2018-12-02T16:30:29,0.82,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-03,80.6,59.5,69.3,81.8,59.5,69.3,62.7,81,0,0,0,,0,0,15,6.9,33,1015.2,50.5,1.9,131.8,11.5,6,,2018-12-03T05:54:15,2018-12-03T16:30:32,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-04,80.6,58.5,68.4,81.8,58.5,68.4,60.9,79.4,0,0,0,,0,0,13.6,8.6,32.6,1015.6,34.8,1.9,165.3,14.2,6,,2018-12-04T05:54:59,2018-12-04T16:30:37,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-05,79.8,55.9,67.8,79.8,55.9,67.8,60.7,79.7,0,0,0,,0,0,13.2,4.7,15.6,1013.6,47.3,2,157,13.5,6,,2018-12-05T05:55:41,2018-12-05T16:30:44,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42410099999,VEGT,42408099999,remote,42516099999,42512099999"
assam,2018-12-06,78.8,60.1,68.4,78.8,60.1,68.4,62.4,82.7,0,0,0,,0,0,12.1,4.5,349.8,1012.6,65.4,1.8,144.8,12.5,6,,2018-12-06T05:56:24,2018-12-06T16:30:52,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-07,78.8,59.2,68.5,78.8,59.2,68.5,62.6,82.7,0,0,0,,0,0,16.1,7.6,21.1,1013.2,48.9,1.8,135.6,11.6,6,,2018-12-07T05:57:06,2018-12-07T16:31:02,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-08,80.6,58.8,67.8,82.3,58.8,67.9,61.1,81.2,0,0,0,,0,0,12.5,9,26,1014.4,35.9,1.8,168.2,14.5,6,,2018-12-08T05:57:47,2018-12-08T16:31:13,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-09,78.8,55.1,66,78.8,55.1,66,58.8,79.6,0,0,0,,0,0,14.5,9.2,31,1014,33.8,1.8,170.3,14.7,7,,2018-12-09T05:58:28,2018-12-09T16:31:25,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-10,79.7,55.5,66.4,79.7,55.5,66.4,58.3,77.6,0,0,0,,0,0,17.4,12.1,20,1014.4,26.6,1.9,170.9,14.8,7,,2018-12-10T05:59:08,2018-12-10T16:31:39,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-11,80.6,53.6,66.7,81.5,53.6,66.7,58.5,77.5,0,0,0,,0,0,23.5,13.3,26,1013.9,30.1,1.9,169,14.8,7,,2018-12-11T05:59:48,2018-12-11T16:31:55,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-12,80.7,55.9,67.2,81.5,55.9,67.3,59.7,78.7,0,0,0,,0,0,17,8.1,28.9,1015.4,34.5,1.9,159.7,13.8,6,,2018-12-12T06:00:27,2018-12-12T16:32:12,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-13,83.1,57,67.5,83.2,57,67.5,59.1,77.5,0,0,0,,0,0,21.3,10.9,27.5,1016.4,27.1,1.9,161.9,14,6,,2018-12-13T06:01:05,2018-12-13T16:32:30,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
assam,2018-12-14,80.6,57.2,67.8,82.3,57.2,67.9,60.8,80.2,0,0,0,,0,0,15.2,6.6,243.5,1017,37,2,153.4,13.2,6,,2018-12-14T06:01:43,2018-12-14T16:32:50,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,remote,42516099999,42512099999"
assam,2018-12-15,80.6,57.4,68.4,81.8,57.4,68.4,61.9,81.6,0,0,0,,0,0,17.4,9.2,10.8,1018.1,34.6,1.9,157.8,13.4,6,,2018-12-15T06:02:20,2018-12-15T16:33:11,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
