datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,AVERAGE of Wind_MWh
2022-08-10,91.3,53.0,73.4,87.6,53.0,72.1,47.9,46.5,0.0,0,0.0,,0.0,0.0,19.5,9.4,18.2,1018.3,3.7,12.3,306.1,26.5,9.0,,2022-08-10T06:38:04,2022-08-10T21:02:35,0.44,Clear,Clear conditions throughout the day.,clear-day,"07460099999,07379099999,LFLC,07374099999,LFLV,07477099999,LFLN",4992.125
2022-08-11,94.0,54.4,74.7,90.7,54.4,73.5,49.3,46.1,0.0,0,0.0,,0.0,0.0,17.7,7.9,28.0,1015.3,0.2,13.2,302.6,26.1,9.0,,2022-08-11T06:39:18,2022-08-11T21:01:02,0.48,Clear,Clear conditions throughout the day.,clear-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",4184.375
2022-08-12,93.6,53.6,75.0,89.6,53.6,73.7,48.1,45.0,0.0,0,0.0,,0.0,0.0,17.9,8.9,15.5,1013.0,0.0,13.3,302.6,26.1,9.0,,2022-08-12T06:40:32,2022-08-12T20:59:27,0.5,Clear,Clear conditions throughout the day.,clear-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3159.208333
2022-08-13,92.9,53.7,74.6,88.8,53.7,73.2,46.1,42.5,0.0,0,0.0,,0.0,0.0,18.8,8.7,25.7,1011.2,12.7,13.8,299.8,26.0,9.0,,2022-08-13T06:41:47,2022-08-13T20:57:51,0.54,Clear,Clear conditions throughout the day.,clear-day,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2776.208333
2022-08-14,76.6,61.8,68.4,76.6,61.8,68.4,58.4,71.5,0.274,100,41.67,rain,0.0,0.0,29.2,11.4,217.7,1009.3,86.2,13.5,144.4,12.5,5.0,,2022-08-14T06:43:02,2022-08-14T20:56:14,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3285.0
2022-08-15,80.4,60.0,69.1,80.6,60.0,69.1,57.9,70.9,0.006,100,8.33,rain,0.0,0.0,20.7,9.1,242.7,1008.6,86.0,12.8,114.6,9.9,4.0,,2022-08-15T06:44:17,2022-08-15T20:54:36,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2513.666667
2022-08-16,85.9,57.4,69.4,83.8,57.4,69.1,57.1,70.4,0.448,100,29.17,rain,0.0,0.0,27.6,9.6,357.1,1008.9,68.0,10.7,237.7,20.6,8.0,,2022-08-16T06:45:32,2022-08-16T20:52:56,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,LFLV,07477099999,LFLN",1116.0
2022-08-17,74.9,59.9,66.4,74.9,59.9,66.4,60.8,83.6,0.957,100,50.0,rain,0.0,0.0,31.6,9.4,46.9,1011.2,92.1,11.7,207.9,17.9,8.0,,2022-08-17T06:46:47,2022-08-17T20:51:16,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",1298.0
2022-08-18,74.1,58.5,64.8,74.1,58.5,64.8,60.5,87.0,0.723,100,33.33,rain,0.0,0.0,29.4,8.2,296.1,1014.0,91.8,10.9,118.1,10.4,3.0,,2022-08-18T06:48:02,2022-08-18T20:49:34,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",2022.208333
2022-08-19,74.4,62.1,67.4,74.4,62.1,67.4,61.1,81.1,0.142,100,37.5,rain,0.0,0.0,20.8,10.7,299.5,1018.2,95.5,12.9,209.6,18.1,6.0,,2022-08-19T06:49:17,2022-08-19T20:47:51,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07460099999,07379099999,LFLC,07374099999,07477099999,LFLN",3272.875
